Rule,Title,Text,Congress,Link
,Committee appointment ,"The Speaker shall appoint all select, joint, and conference committees ordered by the House. At any time after an original appointment, the Speaker may remove Members, Delegates, or the Resident Commissioner from, or appoint additional Members, Delegates, or the Resident Commissioner to, a select or conference committee. In appointing Members, Delegates, or the Resident Commissioner to conference committees, the Speaker shall appoint no less than a majority who generally supported the House position as determined by the Speaker, shall name those who are primarily responsible for the legislation, and shall, to the fullest extent feasible, include the principal proponents of the major provisions of the bill or resolution passed or adopted by the House.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Recess and convening authorities," (a) To suspend the business of the House for a short time when no question is pending before the House, the Speaker may declare a recess subject to the call of the Chair. (b)(1) To suspend the business of the House when notified of an imminent threat to its safety, the Speaker may declare an emergency recess subject to the call of the Chair. (2) To suspend the business of the Committee of the Whole House on the state of the Union when notified of an imminent threat to its safety, the chair of the Committee of the Whole may declare an emergency recess subject to the call of the Chair. (c) During any recess or adjournment of not more than three days, if the Speaker is notified by the Sergeant-atArms of an imminent impairment of the place of reconvening at the time previously appointed, then the Speaker may, in consultation with the Minority Leader—(1) postpone the time for reconvening within the limits of clause 4, section 5, article I of the Constitution and notify Members, Delegates, and the Resident Commissioner accordingly; or (2) reconvene the House before the time previously appointed solely to declare the House in recess within the limits of clause 4, section 5, article I of the Constitution and notify Members, Delegates, and the Resident Commissioner accordingly. (d) The Speaker may convene the House in a place at the seat of government other than the Hall of the House if, in the opinion of the Speaker, the public interest shall warrant it. (e) During any recess or adjournment of not more than three days, if in the opinion of the Speaker the public interest so warrants, then the Speaker, after consultation with the Minority Leader, may reconvene the House at a time other than that previously appointed, within the limits of clause 4, section 5, article I of the Constitution, and notify Members, Delegates, and the Resident Commissioner accordingly. (f) The Speaker may name a designee for purposes of paragraphs (c), (d), and (e).",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
OTHER OFFICERS AND OFFICIALS,Elections ,"There shall be elected at the commencement of each Congress, to continue in office until their successors are chosen and qualified, a Clerk, a Sergeant-at-Arms, a Chief Administrative Officer, and a Chaplain. Each of these officers shall take an oath to support the Constitution of the United States, and for the true and faithful exercise of the duties of the office to the best of the knowledge and ability of the officer, and to keep the secrets of the House. Each of these officers shall appoint all of the employees of the department concerned provided for by law. The Clerk, Sergeant-at-Arms, and Chief Administrative Officer may be removed by the House or by the Speaker.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Clerk ,"(a) At the commencement of the first session of each Congress, the Clerk shall call the Members, Delegates, and Resident Commissioner to order and proceed to record their presence by States in alphabetical order, either by call of the roll or by use of the electronic voting system. Pending the election of a Speaker or Speaker pro tempore, and in the absence of a Member acting as Speaker pro tempore pursuant to clause 8(b)(3)(A) of rule I, the Clerk shall preserve order and decorum and decide all questions of order, subject to appeal by a Member, Delegate, or Resident Commissioner. (b) At the commencement of every regular session of Congress, the Clerk shall make and cause to be delivered to each Member, Delegate, and the Resident Commissioner a list of the reports that any officer or Department is required to make to Congress, citing the law or resolution in which the requirement may be contained and placing under the name of each officer the list of reports required to be made by such officer. (c) The Clerk shall— (1) note all questions of order, with the decisions thereon, the record of which shall be appended to the Journal of each session; (2) enter on the Journal the hour at which the House adjourns; (3) complete the distribution of the Journal to Members, Delegates, and the Resident Commissioner, together with an accurate and complete index, as soon as possible after the close of a session; and (4) send a copy of the Journal to the executive of and to each branch of the legislature of every State as may be requested by such State officials. (d)(1) The Clerk shall attest and affix the seal of the House to all writs, warrants, and subpoenas issued by order of the House and certify the passage of all bills and joint resolutions. (2) The Clerk shall examine all bills, amendments, and joint resolutions after passage by the House and, in cooperation with the Senate, examine all bills and joint resolutions that have passed both Houses to see that they are correctly enrolled and forthwith present those bills and joint resolutions that originated in the House to the President in person after their signature by the Speaker and the President of the Senate, and report to the House the fact and date of their presentment. (e) The Clerk shall cause the calendars of the House to be distributed each legislative day. (f) The Clerk shall— (1) retain in the library at the Office of the Clerk for the use of the Members, Delegates, Resident Commissioner, and officers of the House, and not to be withdrawn therefrom, two copies of all the books and printed documents deposited there; and (2) deliver to any Member, Delegate, or the Resident Commissioner an extra copy of each document requested by that Member, Delegate, or Resident Commissioner that has been printed by order of either House of Congress in any Congress in which the Member, Delegate, or Resident Commissioner served. (g) The Clerk shall provide for the temporary absence or disability of the Clerk by designating an official in the Office of the Clerk to sign all papers that may require the official signature of the Clerk and to perform all other official acts that the Clerk may be required to perform under the rules and practices of the House, except such official acts as are provided for by statute. Official acts performed by the designated official shall be under the name of the Clerk. The designation shall be in writing and shall be laid before the House and entered on the Journal. (h) The Clerk may receive messages from the President and from the Senate at any time when the House is in recess or adjournment. (i) The Clerk shall supervise the staff and manage the office of a Member, Delegate, or Resident Commissioner who has died, resigned, or been expelled until a successor is elected. The Clerk shall perform similar duties in the event that a vacancy is declared by the House in any congressional district because of the incapacity of the person representing such district or other reason. When acting as a supervisory authority over such staff, the Clerk shall have authority to terminate employees and, with the approval of the Committee on House Administration, may appoint such staff as is required to operate the office until a successor is elected. (j) In addition to any other reports required by the Speaker or the Committee on House Administration, the Clerk shall report to the Committee on House Administration not later than 45 days following the close of each semiannual period ending on June 30 or on December 31 on the financial and operational status of each function under the jurisdiction of the Clerk. Each report shall include financial statements and a description or explanation of current operations, the implementation of new policies and procedures, and future plans for each function. (k) The Clerk shall fully cooperate with the appropriate offices and persons in the performance of reviews and audits of financial records and administrative operations.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Sergeant-at-Arms ,"(a) The Sergeant-at-Arms shall attend the House during its sittings and maintain order under the direction of the Speaker or other presiding officer. The Sergeant-at-Arms shall execute the commands of the House, and all processes issued by authority thereof, directed to the Sergeant-at-Arms by the Speaker. (b) The symbol of the Office of the Sergeant-at-Arms shall be the mace, which shall be borne by the Sergeant at-Arms while enforcing order on the floor. (c) The Sergeant-at-Arms shall enforce strictly the rules relating to the privileges of the Hall of the House and be responsible to the House for the official conduct of employees of the Office of the Sergeant-at-Arms. (d) The Sergeant-at-Arms may not allow a person to enter the room over the Hall of the House during its sittings and, from 15 minutes before the hour of the meeting of the House each day until 10 minutes after adjournment, shall see that the floor is cleared of all persons except those privileged to remain. (e) In addition to any other reports required by the Speaker or the Committee on House Administration, the Sergeant-at-Arms shall report to the Committee on House Administration not later than 45 days following the close of each semiannual period ending on June 30 or on December 31 on the financial and operational status of each function under the jurisdiction of the Sergeant-at-Arms. Each report shall include financial statements and a description or explanation of current operations, the implementation of new policies and procedures, and future plans for each function. (f) The Sergeant-at-Arms shall fully cooperate with the appropriate offices and persons in the performance of reviews and audits of financial records and administrative operations. (g)(1) The Sergeant-at-Arms is authorized and directed to impose a fine against a Member, Delegate, or the Resident Commissioner for the use of an electronic device for still photography or for audio or visual recording or broadcasting in contravention of clause 5 of rule XVII and any applicable Speaker’s announced policy on electronic devices. (2) A fine imposed pursuant to this paragraph shall be $500 for a first offense and $2,500 for any subsequent offense. (3)(A) The Sergeant-at-Arms shall promptly notify the Member, Delegate, or the Resident Commissioner, the Speaker, the Chief Administrative Officer, and the Committee on Ethics of any such fine. (B) Such Member, Delegate, or Resident Commissioner may appeal the fine in writing to the Committee on Ethics not later than 30 calendar days or five legislative days, whichever is later, after notification pursuant to subdivision (A). (C) Upon receipt of an appeal pursuant to subdivision (B), the Committee on Ethics shall have a period of 30 calendar days or five legislative days, whichever is later, to consider the appeal. The fine will be upheld unless the appeal is agreed to by a majority of the Committee. Upon a determination regarding the appeal or if no appeal has been filed at the expiration of the period specified in subdivision (B), the chair of the Committee on Ethics shall promptly notify the Member, Delegate, or the Resident Commissioner, the Speaker, the Sergeant-at-Arms, and the Chief Administrative Officer, and shall make such notification publicly available. The Speaker shall promptly lay such notification before the House. (4) The Sergeant-at-Arms and the Committee on Ethics are authorized to establish policies and procedures for the implementation of this paragraph.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Chief Administrative Officer ,"a) The Chief Administrative Officer shall have operational and financial responsibility for functions as assigned by the Committee on House Administration and shall be subject to the policy direction and oversight of the Committee on House Administration. (b) In addition to any other reports required by the Committee on House Administration, the Chief Administrative Officer shall report to the Committee on House Administration not later than 45 days following the close of each semiannual period ending on June 30 or December 31 on the financial and operational status of each function under the jurisdiction of the Chief Administrative Officer. Each report shall include financial statements and a description or explanation of current operations, the implementation of new policies and procedures, and future plans for each function. (c) The Chief Administrative Officer shall fully cooperate with the appropriate offices and persons in the performance of reviews and audits of financial records and administrative operations. (d)(1) Upon notification from the chair of the Committee on Ethics pursuant to clause 3(g)(3)(C), the Chief Administrative Officer shall deduct the amount of any fine levied under clause 3(g) from the net salary otherwise due the Member, Delegate, or the Resident Commissioner. (2) The Chief Administrative Officer is authorized to establish policies and procedures for such salary deductions.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Chaplain,The Chaplain shall offer a prayer at the commencement of each day’s sitting of the House.,117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Office of Inspector General ,"(a) There is established an Office of Inspector General. (b) The Inspector General shall be appointed for a Congress by the Speaker, the Majority Leader, and the Minority Leader, acting jointly. (c) Subject to the policy direction and oversight of the Committee on House Administration, the Inspector General shall only— (1) provide audit, investigative, and advisory services to the House and joint entities in a manner consistent with government-wide standards; (2) inform the officers or other officials who are the subject of an audit of the results of that audit and suggesting appropriate curative actions; (3) simultaneously notify the Speaker, the Majority Leader, the Minority Leader, and the chair and ranking minority member of the Committee on House Administration in the case of any financial irregularity discovered in the course of carrying out responsibilities under this clause; (4) simultaneously submit to the Speaker, the Majority Leader, the Minority Leader, and the chair and ranking minority member of the Committee on Appropriations and the Committee on House Administration a report of each audit conducted under this clause; and (5) report to the Committee on Ethics information involving possible violations by a Member, Delegate, Resident Commissioner, officer, or employee of the House of any rule of the House or of any law applicable to the performance of official duties or the discharge of official responsibilities that may require referral to the appropriate Federal or State authorities under clause 3(a)(3) of rule XI.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Office of the Historian ,There is established an Office of the Historian of the House of Representatives. The Speaker shall appoint and set the annual rate of pay for employees of the Office of the Historian. Office of General Counsel,117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Office of General Counsel,"(a) There is established an Office of General Counsel for the purpose of providing legal assistance and representation to the House. Legal assistance and representation shall be provided without regard to political affiliation. The Speaker shall appoint and set the annual rate of pay for employees of the Office of General Counsel. The Office of General Counsel shall function pursuant to the direction of the Speaker, who shall consult with the Bipartisan Legal Advisory Group. (b) There is established a Bipartisan Legal Advisory Group composed of the Speaker and the majority and minority leaderships. Unless otherwise provided by the House, the Bipartisan Legal Advisory Group speaks for, and articulates the institutional position of, the House in all litigation matters. (c) The House, the Speaker, a committee or the chair of a committee authorized during a prior Congress to act in a litigation matter is authorized to act as the successor in interest to the House, the Speaker, such committee or the chair of such committee of a prior Congress, respectively, with respect to such litigation matter, and to take such steps as may be appropriate, including, but not limited to, the issuance of subpoenas, to ensure continuation of such litigation matter. Office of Diversity and Inclusion",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Office of Diversity and Inclusion,"(a) There is established an Office of Diversity and Inclusion. The Speaker, in consultation with the Minority Leader, shall appoint a Director of the Office from recommendations provided by the chair of the Committee on House Administration in consultation with the ranking minority member of such committee. (b) Subject to the policy direction and oversight of the Committee on House Administration, the Office of Diversity and Inclusion shall— (1) direct and guide House employing offices to recruit, hire, train, develop, advance, promote, and retain a diverse workforce; (2) survey and evaluate diversity in House employing offices; (3) through the Director of the Office at the end of each session of Congress, submit a House of Representatives diversity report to the Speaker, the Majority Leader, the Minority Leader, the chair and ranking minority member of the Committee on House Administration, and the chair and ranking minority member of the Subcommittee on the Legislative Branch of the Committee on Appropriations; and (4) provide consultation and guidance in furtherance of increasing diversity and inclusion in the House.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Office of the Whistleblower Ombuds ,"(a) There is established an Office of the Whistleblower Ombuds. The Speaker, in consultation with the chairs and ranking minority members of the Committee on House Administration and the Committee on Oversight and Reform, shall appoint a Director of the Office. (b) Subject to the policy direction and oversight of the Committee on House Administration, and in consultation with any other committee (at the request of the chair or ranking minority member of such other committee), the Office of the Whistleblower Ombuds shall— (1) promulgate best practices for whistleblower intake for offices of the House; and (2) provide training for offices of the House on whistleblower intake, including establishing an effective reporting system for whistleblowers, maintaining whistleblower confidentiality, advising staff of relevant laws and policies, and protecting information provided by whistleblowers.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
"THE MEMBERS, DELEGATES, AND RESIDENT COMMISSIONER OF PUERTO RICO",Voting,"Every Member shall be present within the Hall of the House during its sittings, unless excused or necessarily prevented, and shall vote on each question put, unless having a direct personal or pecuniary interest in the event of such question. 2. (a) A Member may not authorize any other person to cast the vote of such Member or record the presence of such Member in the House or the Committee of the Whole House on the state of the Union. (b) No other person may cast a Member’s vote or record a Member’s presence in the House or the Committee of the Whole House on the state of the Union. ",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,"Delegates and the Resident
Commissioner ","(a) In a Committee of the Whole House on the State of the Union, each Delegate and the Resident Commissioner shall possess the same powers and privileges as Members of the House. Each Delegate and the Resident Commissioner shall be elected to serve on standing committees in the same manner as Members and shall possess in such committees the same powers and privileges as the other members of the committee. (b) The Delegates and the Resident Commissioner may be appointed to any select committee, joint committee, or conference committee.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
THE HALL OF THE HOUSE,Use and admittance ,". The Hall of the House shall be used only for the legislative business of the House and for caucus and conference meetings of its Members, except when the House agrees to take part in any ceremonies to be observed therein. 2. (a) Only the following persons shall be admitted to the Hall of the House or rooms leading thereto: (1) Members of Congress, Memberselect, Delegates, Delegates-elect, the Resident Commissioner, and the Resident Commissioner-elect. (2) Contestants in election cases during the pendency of their cases on the floor. (3) The President and Vice President of the United States and their private secretaries. (4) Justices of the Supreme Court. (5) Elected officers and minority employees nominated as elected officers of the House. (6) The Parliamentarian. (7) Staff of committees when business from their committee is under consideration, and staff of the respective party leaderships when so assigned with the approval of the Speaker. (8) Not more than one person from the staff of a Member, Delegate, or Resident Commissioner when that Member, Delegate, or Resident Commissioner has an amendment under consideration (subject to clause 5). (9) The Architect of the Capitol. (10) The Librarian of Congress and the assistant in charge of the Law Library. (11) The Secretary and Sergeant-atArms of the Senate. (12) Heads of departments. (13) Foreign ministers. (14) Governors of States and of the Territories and the Mayor of the District of Columbia. (15) Former Members, Delegates, and Resident Commissioners; former Parliamentarians of the House; and former elected officers and minority employees nominated as elected officers of the House (subject to clause 4). (16) One attorney to accompany a Member, Delegate, or Resident Commissioner who is the respondent in an investigation undertaken by the Committee on Ethics when a recommendation of that committee is under consideration in the House. (17) Such persons as have, by name, received the thanks of Congress. (b) The Speaker may not entertain a unanimous consent request or a motion to suspend this clause or clauses 1, 3, 4, or 5. 3. (a) Except as provided in paragraph (b), all persons not entitled to the privilege of the floor during the session shall be excluded at all times from the Hall of the House and the cloakrooms. (b) Until 15 minutes of the hour of the meeting of the House, persons employed in its service, accredited members of the press entitled to admission to the press gallery, and other persons on request of a Member, Delegate, or Resident Commissioner by card or in writing, may be admitted to the Hall of the House. 4. (a) A former Member, Delegate, or Resident Commissioner; a former Parliamentarian of the House; or a former elected officer of the House or former minority employee nominated as an elected officer of the House shall not be entitled to the privilege of admission to the Hall of the House and rooms leading thereto if such individual— (1) is a registered lobbyist or agent of a foreign principal as those terms are defined in clause 5 of rule XXV; (2) has any direct personal or pecuniary interest in any legislative measure pending before the House or reported by a committee; (3) is in the employ of or represents any party or organization for the purpose of influencing, directly or indirectly, the passage, defeat, or amendment of any legislative proposal; or (4) has been convicted by a court of record for the commission of a crime in relation to that individual’s election to, or service to, the House. (b) The Speaker may promulgate regulations to carry out this rule including regulations that exempt ceremonial or educational functions from the restrictions of this clause. 5. A person from the staff of a Member, Delegate, or Resident Commissioner may be admitted to the Hall of the House or rooms leading thereto under clause 2 only upon prior notice to the Speaker. Such persons, and persons from the staff of committees admitted under clause 2, may not engage in efforts in the Hall of the House or rooms leading thereto to influence Members with regard to the legislation being amended. Such persons are admitted only to advise the Member, Delegate, Resident Commissioner, or committee responsible for their admission. A person who violates this clause may be excluded during the session from the Hall of the House and rooms leading thereto by the Speaker.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Gallery,"(a) The Speaker shall set aside a portion of the west gallery for the use of the President, the members of the Cabinet, justices of the Supreme Court, foreign ministers and suites, and the members of their respective families. The Speaker shall set aside another portion of the same gallery for the accommodation of persons to be admitted on the cards of Members, Delegates, or the Resident Commissioner. (b) The Speaker shall set aside the southerly half of the east gallery for the use of the families of Members of Congress. The Speaker shall control one bench. On the request of a Member, Delegate, Resident Commissioner, or Senator, the Speaker shall issue a card of admission to the family of such individual, which may include their visitors. No other person shall be admitted to this section",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Prohibition on campaign contributions ,"A Member, Delegate, Resident Commissioner, officer, or employee of the House, or any other person entitled to admission to the Hall of the House or rooms leading thereto by this rule, may not knowingly distribute a political campaign contribution in the Hall of the House or rooms leading thereto.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
BROADCASTING THE HOUSE,,"The Speaker shall administer, direct, and control a system for closedcircuit viewing of floor proceedings of the House in the offices of all Members, Delegates, the Resident Commissioner, and committees and in such other places in the Capitol and the House Office Buildings as the Speaker considers appropriate. Such system may include other communications functions as the Speaker considers appropriate. Any such communications shall be subject to rules and regulations issued by the Speaker. 2. (a) The Speaker shall administer, direct, and control a system for complete and unedited audio and visual broadcasting and recording of the floor proceedings of the House. The Speaker shall provide for the distribution of such broadcasts and recordings to news media, for the storage of audio and video recordings of the proceedings, and for the closed-captioning of the proceedings for hearing-impaired persons. (b) All television and radio broadcasting stations, networks, services, and systems (including cable systems) that are accredited to the House Radio and Television Correspondents’ Galleries, and all radio and television correspondents who are so accredited, shall be provided access to the live coverage of the House. (c) Coverage made available under this clause, including any recording thereof— (1) may not be used for any partisan political campaign purpose; (2) may not be used in any commercial advertisement; and (3) may not be broadcast with commercial sponsorship except as part of a bona fide news program or public affairs documentary program. 3. The Speaker may delegate any of the responsibilities under this rule to such legislative entity as the Speaker considers appropriate.   ",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
"OFFICIAL REPORTERS AND NEWS MEDIA
GALLERIES",Official reporters ,"Subject to the direction and control of the Speaker, the Clerk shall appoint, and may remove for cause, the official reporters of the House, including stenographers of committees, and shall supervise the execution of their duties. ",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,News media galleries,"A portion of the gallery over the Speaker’s chair as may be necessary to accommodate representatives of the press wishing to report debates and proceedings shall be set aside for their use. Reputable reporters and correspondents shall be admitted thereto under such regulations as the Speaker may prescribe from time to time. The Standing Committee of Correspondents for the Press Gallery, and the Executive Committee of Correspondents for the Periodical Press Gallery, shall supervise such galleries, including the designation of its employees, subject to the direction and control of the Speaker. The Speaker may admit to the floor, under such regulations as the Speaker may prescribe, not more than one representative of each press association. 3. A portion of the gallery as may be necessary to accommodate reporters of news to be disseminated by radio, television, and similar means of transmission, wishing to report debates and proceedings, shall be set aside for their use. Reputable reporters and correspondents shall be admitted thereto under such regulations as the Speaker may prescribe. The Executive Committee of the Radio and Television Correspondents’ Galleries shall supervise such gallery, including the designation of its employees, subject to the direction and control of the Speaker. The Speaker may admit to the floor, under such regulations as the Speaker may prescribe, not more than one representative of each media outlet.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
RECORDS OF THE HOUSe,Archiving,"a) At the end of each Congress, the chair of each committee shall transfer to the Clerk any noncurrent records of such committee, including the subcommittees thereof. (b) At the end of each Congress, each officer of the House elected under rule II shall transfer to the Clerk any noncurrent records made or acquired in the course of the duties of such officer. 2. The Clerk shall deliver the records transferred under clause 1, together with any other noncurrent records of the House, to the Archivist of the United States for preservation at the National Archives and Records Administration. Records so delivered are the permanent property of the House and remain subject to this rule and any order of the House.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Public availability,"(a) The Clerk shall authorize the Archivist to make records delivered under clause 2 available for public use, subject to clause 4(b) and any order of the House. (b)(1) A record shall immediately be made available if it was previously made available for public use by the House or a committee or a subcommittee. (2) An investigative record that contains personal data relating to a specific living person (the disclosure of which would be an unwarranted invasion of personal privacy), an administrative record relating to personnel, or a record relating to a hearing that was closed under clause 2(g)(2) of rule XI shall be made available if it has been in existence for 50 years. (3) A record for which a time, schedule, or condition for availability is specified by order of the House shall be made available in accordance with that order. Except as otherwise provided by order of the House, a record of a committee for which a time, schedule, or condition for availability is specified by order of the committee (entered during the Congress in which the record is made or acquired by the committee) shall be made available in accordance with the order of the committee. (4) A record (other than a record referred to in subparagraph (1), (2), or (3)) shall be made available if it has been in existence for 30 years. 4. (a) A record may not be made available for public use under clause 3 if the Clerk determines that such availability would be detrimental to the public interest or inconsistent with the rights and privileges of the House. The Clerk shall notify in writing the chair and ranking minority member of the Committee on House Administration of any such determination. (b) A determination of the Clerk under paragraph (a) is subject to later orders of the House and, in the case of a record of a committee, later orders of the committee. 5. (a) This rule does not supersede rule VIII or clause 11 of rule X and does not authorize the public disclosure of any record if such disclosure is prohibited by law or executive order of the President. (b) The Committee on House Administration may prescribe guidelines and regulations governing the applicability and implementation of this rule. (c) A committee may withdraw from the National Archives and Records Administration any record of the committee delivered to the Archivist under this rule. Such a withdrawal shall be on a temporary basis and for official use of the committee.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Definition of record ,"(a) In this rule the term ‘‘record’’ means any official, permanent record of the House (other than a record of an individual Member, Delegate, or Resident Commissioner as described in paragraph (b)), including— (1) with respect to a committee, an official, permanent record of the committee (including any record of a legislative, oversight, or other activity of such committee or a subcommittee thereof); and (2) with respect to an officer of the House elected under rule II, an official, permanent record made or acquired in the course of the duties of such officer. (b) Records created, generated, or received by the congressional office of a Member, Delegate, or the Resident Commissioner in the performance of official duties are exclusively the personal property of the individual Member, Delegate, or the Resident Commissioner and such Member, Delegate, or Resident Commissioner has control over such records.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Withdrawal of papers ,"A memorial or other paper presented to the House may not be withdrawn from its files without its leave. If withdrawn certified copies thereof shall be left in the Office of the Clerk. When an act passes for the settlement of a claim, the Clerk may transmit to the officer charged with the settlement thereof the papers on file in the Office of the Clerk relating to such claim. The Clerk may lend temporarily to an officer or bureau of the executive departments any papers on file in the Office of the Clerk relating to any matter pending before such officer or bureau, taking proper receipt therefor.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
